PS C:\dev\mystimath\conjectura\magic-square-of-squares-3x3> python src/search_non_square_center_v2.py --max-root 10000
Profil B2-1
  cible      : racines extérieures <= 50,000
  objectif   : Dépasser proprement la borne 20 000.
  arrêt      : Stop si mur mémoire persistant après réécriture raisonnable.
Recherche B2 — centre non nécessairement carré
  max-root           : 10,000
  center-block-size  : 200,000
  moduli             : [8, 3, 5, 7, 11]
  primitive-only     : False
  distinct-roots     : False
  out                : (aucune sortie CSV)
  [ 4236.1s] centers=6,037,610  results=0  rate=1,425 centers/s
  [ 4263.0s] centers=6,074,615  results=0  rate=1,425 centers/s
  [ 4289.8s] centers=6,111,597  results=0  rate=1,425 centers/s
  [ 4316.5s] centers=6,148,606  results=0  rate=1,424 centers/s
  [ 4343.3s] centers=6,185,590  results=0  rate=1,424 centers/s
  [ 4369.9s] centers=6,222,619  results=0  rate=1,424 centers/s
  [ 4396.7s] centers=6,259,554  results=0  rate=1,424 centers/s
  [ 4423.5s] centers=6,296,559  results=0  rate=1,423 centers/s
  [ 4450.3s] centers=6,333,507  results=0  rate=1,423 centers/s
  [ 4477.0s] centers=6,370,466  results=0  rate=1,423 centers/s
  [ 4503.9s] centers=6,407,424  results=0  rate=1,423 centers/s
  [ 4530.5s] centers=6,444,383  results=0  rate=1,422 centers/s
  [ 4557.3s] centers=6,481,321  results=0  rate=1,422 centers/s
  [ 4584.0s] centers=6,518,242  results=0  rate=1,422 centers/s
  [ 4610.9s] centers=6,555,154  results=0  rate=1,422 centers/s
  [ 4637.8s] centers=6,592,096  results=0  rate=1,421 centers/s
  [ 4664.6s] centers=6,629,023  results=0  rate=1,421 centers/s
  [ 4691.4s] centers=6,665,906  results=0  rate=1,421 centers/s
  [ 4718.0s] centers=6,702,816  results=0  rate=1,421 centers/s
  [ 4745.1s] centers=6,739,744  results=0  rate=1,420 centers/s
  [ 4772.0s] centers=6,776,586  results=0  rate=1,420 centers/s
  [ 4798.8s] centers=6,813,505  results=0  rate=1,420 centers/s
  [ 4825.5s] centers=6,850,337  results=0  rate=1,420 centers/s
  [ 4852.3s] centers=6,887,217  results=0  rate=1,419 centers/s
  [ 4879.1s] centers=6,924,110  results=0  rate=1,419 centers/s
  [ 4905.9s] centers=6,960,981  results=0  rate=1,419 centers/s
  [ 4932.8s] centers=6,997,852  results=0  rate=1,419 centers/s
  [ 4959.7s] centers=7,034,655  results=0  rate=1,418 centers/s
  [ 4986.6s] centers=7,071,507  results=0  rate=1,418 centers/s
  [ 5013.4s] centers=7,108,394  results=0  rate=1,418 centers/s
  [ 5040.3s] centers=7,145,198  results=0  rate=1,418 centers/s
  [ 5067.1s] centers=7,182,013  results=0  rate=1,417 centers/s
  [ 5093.9s] centers=7,218,831  results=0  rate=1,417 centers/s
  [ 5120.6s] centers=7,255,673  results=0  rate=1,417 centers/s
  [ 5147.3s] centers=7,292,483  results=0  rate=1,417 centers/s
  [ 5174.2s] centers=7,329,283  results=0  rate=1,417 centers/s
  [ 5201.1s] centers=7,366,089  results=0  rate=1,416 centers/s
  [ 5227.8s] centers=7,402,886  results=0  rate=1,416 centers/s
  [ 5254.5s] centers=7,439,644  results=0  rate=1,416 centers/s
  [ 5281.0s] centers=7,476,430  results=0  rate=1,416 centers/s
  [ 5307.8s] centers=7,513,220  results=0  rate=1,416 centers/s
  [ 5334.5s] centers=7,549,980  results=0  rate=1,415 centers/s
  [ 5361.3s] centers=7,586,775  results=0  rate=1,415 centers/s
  [ 5388.0s] centers=7,623,501  results=0  rate=1,415 centers/s
  [ 5414.9s] centers=7,660,288  results=0  rate=1,415 centers/s
  [ 5441.5s] centers=7,697,036  results=0  rate=1,415 centers/s
  [ 5468.1s] centers=7,733,785  results=0  rate=1,414 centers/s
  [ 5494.9s] centers=7,770,484  results=0  rate=1,414 centers/s
  [ 5521.8s] centers=7,807,235  results=0  rate=1,414 centers/s
  [ 5548.6s] centers=7,843,918  results=0  rate=1,414 centers/s
  [ 5575.4s] centers=7,880,687  results=0  rate=1,413 centers/s
  [ 5602.2s] centers=7,917,387  results=0  rate=1,413 centers/s
  [ 5628.9s] centers=7,954,086  results=0  rate=1,413 centers/s
  [ 5655.7s] centers=7,990,767  results=0  rate=1,413 centers/s
  [ 5682.3s] centers=8,027,498  results=0  rate=1,413 centers/s
  [ 5709.0s] centers=8,064,190  results=0  rate=1,413 centers/s
  [ 5735.9s] centers=8,100,885  results=0  rate=1,412 centers/s
  [ 5762.8s] centers=8,137,583  results=0  rate=1,412 centers/s
  [ 5789.6s] centers=8,174,233  results=0  rate=1,412 centers/s
  [ 5816.2s] centers=8,210,919  results=0  rate=1,412 centers/s
  [ 5842.9s] centers=8,247,615  results=0  rate=1,412 centers/s
  [ 5869.7s] centers=8,284,287  results=0  rate=1,411 centers/s
  [ 5896.6s] centers=8,320,979  results=0  rate=1,411 centers/s
  [ 5923.4s] centers=8,357,647  results=0  rate=1,411 centers/s
  [ 5950.3s] centers=8,394,289  results=0  rate=1,411 centers/s
  [ 5977.9s] centers=8,430,936  results=0  rate=1,410 centers/s
  [ 6005.5s] centers=8,467,559  results=0  rate=1,410 centers/s
  [ 6034.3s] centers=8,504,203  results=0  rate=1,409 centers/s
  [ 6061.3s] centers=8,540,804  results=0  rate=1,409 centers/s
  [ 6088.1s] centers=8,577,422  results=0  rate=1,409 centers/s
  [ 6115.0s] centers=8,614,094  results=0  rate=1,409 centers/s
  [ 6141.9s] centers=8,650,683  results=0  rate=1,408 centers/s
  [ 6168.8s] centers=8,687,303  results=0  rate=1,408 centers/s
  [ 6195.6s] centers=8,723,905  results=0  rate=1,408 centers/s
  [ 6222.5s] centers=8,760,498  results=0  rate=1,408 centers/s
  [ 6249.2s] centers=8,797,089  results=0  rate=1,408 centers/s
  [ 6276.1s] centers=8,833,744  results=0  rate=1,408 centers/s
  [ 6302.8s] centers=8,870,375  results=0  rate=1,407 centers/s
  [ 6329.5s] centers=8,906,930  results=0  rate=1,407 centers/s
  [ 6356.4s] centers=8,943,525  results=0  rate=1,407 centers/s
  [ 6383.4s] centers=8,980,101  results=0  rate=1,407 centers/s
  [ 6410.1s] centers=9,016,710  results=0  rate=1,407 centers/s
  [ 6437.0s] centers=9,053,253  results=0  rate=1,406 centers/s
  [ 6463.7s] centers=9,089,856  results=0  rate=1,406 centers/s
  [ 6490.5s] centers=9,126,418  results=0  rate=1,406 centers/s
  [ 6517.2s] centers=9,162,970  results=0  rate=1,406 centers/s
  [ 6543.9s] centers=9,199,515  results=0  rate=1,406 centers/s
  [ 6570.9s] centers=9,236,049  results=0  rate=1,406 centers/s
  [ 6597.9s] centers=9,272,677  results=0  rate=1,405 centers/s
  [ 6624.7s] centers=9,309,179  results=0  rate=1,405 centers/s
  [ 6651.7s] centers=9,345,723  results=0  rate=1,405 centers/s
  [ 6678.5s] centers=9,382,251  results=0  rate=1,405 centers/s
  [ 6705.4s] centers=9,418,766  results=0  rate=1,405 centers/s
  [ 6732.1s] centers=9,454,530  results=0  rate=1,404 centers/s
  [ 6758.6s] centers=9,489,667  results=0  rate=1,404 centers/s
  [ 6785.1s] centers=9,524,385  results=0  rate=1,404 centers/s
  [ 6811.7s] centers=9,558,646  results=0  rate=1,403 centers/s
  [ 6838.2s] centers=9,592,511  results=0  rate=1,403 centers/s
  [ 6864.7s] centers=9,626,112  results=0  rate=1,402 centers/s
  [ 6891.0s] centers=9,659,409  results=0  rate=1,402 centers/s
  [ 6917.1s] centers=9,692,493  results=0  rate=1,401 centers/s
  [ 6943.3s] centers=9,725,240  results=0  rate=1,401 centers/s
  [ 6969.5s] centers=9,757,761  results=0  rate=1,400 centers/s
  [ 6995.9s] centers=9,790,100  results=0  rate=1,399 centers/s
  [ 7022.2s] centers=9,822,133  results=0  rate=1,399 centers/s
  [ 7048.3s] centers=9,854,011  results=0  rate=1,398 centers/s
  [ 7074.6s] centers=9,885,590  results=0  rate=1,397 centers/s
  [ 7100.7s] centers=9,916,972  results=0  rate=1,397 centers/s
  [ 7126.8s] centers=9,948,120  results=0  rate=1,396 centers/s
  [ 7152.8s] centers=9,979,095  results=0  rate=1,395 centers/s
  [ 7179.0s] centers=10,009,883  results=0  rate=1,394 centers/s
  [ 7205.0s] centers=10,040,500  results=0  rate=1,394 centers/s
  [ 7231.1s] centers=10,070,838  results=0  rate=1,393 centers/s
  [ 7257.2s] centers=10,100,969  results=0  rate=1,392 centers/s
  [ 7283.4s] centers=10,131,004  results=0  rate=1,391 centers/s
  [ 7309.6s] centers=10,160,804  results=0  rate=1,390 centers/s
  [ 7335.9s] centers=10,190,429  results=0  rate=1,389 centers/s
  [ 7362.0s] centers=10,219,854  results=0  rate=1,388 centers/s
  [ 7388.2s] centers=10,249,072  results=0  rate=1,387 centers/s
  [ 7414.4s] centers=10,278,164  results=0  rate=1,386 centers/s
  [ 7440.6s] centers=10,307,063  results=0  rate=1,385 centers/s
  [ 7466.4s] centers=10,335,768  results=0  rate=1,384 centers/s
  [ 7492.5s] centers=10,364,363  results=0  rate=1,383 centers/s
  [ 7518.4s] centers=10,392,704  results=0  rate=1,382 centers/s
  [ 7544.4s] centers=10,420,820  results=0  rate=1,381 centers/s
  [ 7570.7s] centers=10,448,868  results=0  rate=1,380 centers/s
  [ 7596.6s] centers=10,476,734  results=0  rate=1,379 centers/s
  [ 7622.5s] centers=10,504,367  results=0  rate=1,378 centers/s
  [ 7648.1s] centers=10,531,812  results=0  rate=1,377 centers/s
  [ 7674.2s] centers=10,559,132  results=0  rate=1,376 centers/s
  [ 7700.4s] centers=10,586,252  results=0  rate=1,375 centers/s
