count_bonus_carres,E,A,C,J,H,a,b,c,d,e,f,h,i,j
1,15317,5593,14263,20927,16303,31281649,469116649,203433169,406762009,234610489,62458969,265787809,104329,437939329
1,15368,9032,13192,19768,17272,81577024,452920384,174028864,328627264,236175424,143723584,298321984,19430464,390773824
1,15470,11326,13930,18718,16870,128278276,395639524,194044900,305087524,239320900,173554276,284596900,83002276,350363524
1,15895,6545,15037,21505,16709,42837025,489004681,226111369,435925369,252651025,69376681,279190681,16297369,462465025
1,16025,4153,15479,22279,16553,17247409,513555025,239599441,479152657,256800625,34448593,274001809,46225,496353841
1,16055,8645,13547,20995,18221,74736025,515031841,183521209,366548209,257763025,148977841,332004841,494209,440790025
1,16133,9347,13223,20813,18593,87366409,518606929,174847729,347755009,260273689,172792369,345699649,1940449,433180969
1,16218,5922,15102,22158,17262,35070084,525930084,228070404,456023844,263023524,70023204,297976644,116964,490976964
1,16250,5750,15670,22250,16810,33062500,513576100,245548900,476548900,264062500,51576100,282576100,14548900,495062500
1,16250,11050,13214,20150,18802,122102500,495475204,174609796,316569796,264062500,211555204,353515204,32649796,406022500
1,16575,12135,14925,20055,18075,147258225,454178025,222755625,350228025,274730625,199233225,326705625,95283225,402203025
1,16835,12173,13111,20461,19873,148181929,530171425,171898321,307133617,283417225,259700833,394936129,36663025,418652521
1,16850,9370,15130,21910,18410,87796900,535053700,228916900,425042500,283922500,142802500,338928100,32791300,480048100
1,16887,10257,15963,21567,17763,105206049,495488889,254817369,434782089,285170769,135559449,315524169,74852649,465135489
1,16900,9100,14260,22100,19180,82810000,570672400,203347600,406147600,285610000,165072400,367872400,547600,488410000
1,16965,11673,13923,20961,19539,136258929,533324817,193849929,345402225,287811225,230220225,381772521,42297633,439363521
1,17000,13160,14648,20120,19064,173185600,479250496,214563904,330378304,289000000,247621696,363436096,98749504,404814400
1,17119,6251,15941,23389,18221,39075001,585990001,254115481,508100641,293060161,78019681,332004841,130321,547045321
